,date,2772803,2772804,2772805,2772806,2772807,2772808,2772809,2772810,2772811,2772812,2772813,2772814,2772815,2772816,2772817,2772818,2772819,2772820,2772821,2772822,2772859,2772860,2772861,2772862,2772863,2772864,2772865,2772866,2772867,2772868,2772869,2772870,2772871,2772872,2772873,2772874,2772875,2772876,2772877,2772878,2772879,2772914,2772915,2772916,2772917,2772918,2772919,2772920,2772921,2772922,2772923,2772924,2772925,2772926,2772927,2772928,2772929,2772930,2772931,2772932,2772933,2772934,2772980,2772981,2772982
19,2020-06-09,50.0,50.0,50.0,0.0,-68.0,-68.0,80.0,0.0,0.0,50.0,-50.0,144.0,144.0,0.0,29.0,-59.0,-17.0,39.0,0.0,4.0,-26.0,4.0,-26.0,67.0,80.0,78.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.0,0.0,0.0,0.0,82.0,62.0,38.0,82.0,1.0,-74.0,4.0,4.0,-26.0,97.0,121.0,-33.0,-47.5,-65.0,5.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,25.5,0.0
20,2020-06-10,-359.0,-359.0,-359.0,-4.0,-103.0,-103.0,-103.0,0.0,0.0,-166.0,49.2,-220.66666666666666,-156.0,-114.0,27.0,0.0,38.0,42.0,78.0,88.0,55.0,88.0,55.0,71.0,0.0,0.0,198.0,-123.0,40.0,-26.0,-52.8,38.0,40.0,-27.333333333333332,-4.0,-114.0,102.0,24.0,78.0,59.0,38.0,78.0,86.0,5.0,88.0,88.0,117.0,92.0,121.0,134.0,-17.0,-103.0,91.0,-22.0,40.0,35.5,35.5,40.0,-19.0,40.0,40.0,88.0,88.0,60.0,38.0
21,2020-06-15,-358.0,-358.0,-358.0,166.0,199.0,308.0,38.0,0.0,0.0,4.0,79.8,-426.85714285714283,-426.85714285714283,0.0,-41.0,66.0,43.0,39.0,-11.0,-6.0,-31.0,-6.0,-31.0,84.0,81.0,79.0,-23.0,0.0,40.0,33.0,-16.0,35.0,40.0,29.0,-26.0,0.0,15.0,33.0,83.0,56.0,35.0,83.0,0.0,1.0,-6.0,-6.0,-29.0,-7.0,3.0,12.0,55.0,30.0,-81.0,-0.5,40.0,68.5,68.5,40.0,38.0,40.0,40.0,-6.0,-6.0,10.4,35.0
22,2020-06-16,76.0,76.0,76.0,83.0,-98.0,-98.0,43.0,0.0,0.0,11.0,-98.6,-62.54545454545455,0.0,0.0,-147.0,0.0,43.0,43.0,154.0,167.0,56.0,165.0,56.0,0.0,-130.0,-132.0,39.0,0.0,0.0,0.0,-4.6,0.0,0.0,0.0,82.0,0.0,-69.0,-69.0,77.0,59.0,38.0,77.0,161.0,4.0,167.0,165.0,226.0,200.0,229.0,-33.0,173.0,137.0,86.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,30.0,0.0
23,2020-06-17,260.0,260.0,260.0,257.0,-97.0,-97.0,-97.0,0.0,0.0,23.0,7.4,93.6,-3.75,0.0,-17.0,69.0,3.0,38.0,-2.0,2.0,55.0,2.0,55.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-4.6,0.0,0.0,0.0,43.0,0.0,-68.0,-68.0,79.0,58.0,43.0,79.0,2.0,-75.0,2.0,2.0,-21.0,-16.0,-5.0,27.0,156.5,-98.0,6.0,-14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-112.58333333333334,0.0
24,2020-06-18,-117.0,-117.0,-117.0,-358.0,-101.0,-101.0,-101.0,0.0,0.0,37.0,83.6,21.77777777777778,21.77777777777778,0.0,19.0,67.0,41.0,43.0,-3.0,1.0,55.0,1.0,55.0,0.0,-53.0,-55.0,-88.0,0.0,0.0,0.0,-27.1,0.0,0.0,0.0,108.0,0.0,0.0,0.0,78.0,58.0,38.0,79.0,3.0,159.0,1.0,1.0,-26.0,-2.0,8.0,41.0,63.0,298.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.0
25,2020-06-19,-249.0,-249.0,-249.0,37.0,-99.0,-99.0,-99.0,0.0,0.0,86.0,-27.8,-130.1818181818182,-130.1818181818182,62.0,-47.0,72.0,38.0,-82.0,-1.0,-1.0,-26.0,-1.0,-26.0,72.0,76.0,78.0,-155.0,0.0,42.0,33.0,0.0,34.0,0.0,28.666666666666668,105.0,62.0,12.0,30.0,82.0,62.0,34.0,82.0,1.0,85.0,-1.0,-1.0,-26.0,-9.0,-2.0,42.0,206.5,46.0,-76.0,-7.0,42.0,52.0,52.0,42.0,39.0,42.0,42.0,-1.0,-1.0,23.0,34.0
26,2020-06-22,-358.0,-358.0,-358.0,0.0,-98.0,-98.0,-98.0,0.0,0.0,11.0,-10.6,-102.66666666666667,-57.0,0.0,-41.0,0.0,40.0,-35.0,-81.0,-81.0,-31.0,-85.0,-31.0,0.0,-19.0,-17.0,25.0,128.0,0.0,0.0,-15.6,0.0,0.0,0.0,54.0,0.0,-69.0,-69.0,77.0,-63.0,-38.0,-38.0,-78.0,-2.0,-81.0,-81.0,-21.0,-7.0,4.0,-28.0,-151.0,66.0,-4.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-81.0,66.4,0.0
27,2020-06-23,55.0,55.0,55.0,-74.0,32.0,32.0,78.0,0.0,0.0,-119.0,7.8,232.88888888888889,-128.8,0.0,-48.0,0.0,38.0,-91.0,-79.0,-79.0,-27.0,-79.0,-27.0,0.0,0.0,0.0,80.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,-42.0,-58.0,-37.0,-37.0,-82.0,1.0,-79.0,-79.0,-21.0,-109.0,-109.0,68.0,-153.0,-99.0,-4.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-79.0,15.0,0.0
28,2020-06-25,-233.0,-233.0,-233.0,0.0,202.0,4.0,-63.0,0.0,0.0,67.0,18.8,-80.5,-122.25,1.0,-93.0,-63.0,42.0,42.0,-79.0,-79.0,-26.0,-79.0,-26.0,9.0,80.0,78.0,-198.0,102.0,0.0,39.0,26.5,0.0,0.0,-3.0,104.0,1.0,-69.0,-69.0,-45.0,-63.0,-45.0,-45.0,-81.0,4.0,-79.0,-79.0,-26.0,-105.0,-105.0,-33.0,94.0,-40.0,-76.0,-8.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,-79.0,-79.0,-76.875,0.0
29,2020-06-26,53.0,53.0,53.0,0.0,202.0,312.0,38.0,0.0,0.0,6.0,33.2,184.0,159.0,0.0,50.0,0.0,38.0,43.0,73.0,80.0,55.0,80.0,55.0,74.0,77.0,79.0,-75.0,238.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,-58.0,-39.0,-39.0,86.0,-72.0,80.0,80.0,109.0,-5.0,5.0,-20.0,248.5,-50.0,45.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,72.0,0.0
